"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"S6YLNNQ8","conferencePaper","2023","Hershowitz, A; Mador-Haim, S","""Comparative Prints Suite"" of the United States House of Representatives: NLP for Tracking Changes in Bills and Laws","","0922-6389","","10.3233/FAIA230993","","We demonstrate the ""Comparative Prints Suite"", a browser-based family of tools developed for the United States House of Representatives to track changes in United States federal legislation. The tools use a model grammar to parse amendments to bills, execute those amendments into law, and compare versions of bills. The tools are available at to Members and staff in the U.S. House, the Congressional Research Service of the Library of Congress, and other Congressional entities to support the legislative process.","2023","2024-10-27 16:07:34","2024-10-27 16:07:34","","379-382","","","379","","","","","","","","","","English","","","","WOS:001175464100052","","","","","","","Amendment Modeling and Parsing Language (AMPL); CItation Modeling and Parsing Language (CIMPL); legislation; Natural Language Processing; United States Congress","","Spanakis, J; VanDijck, G; Sileno, G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LEGAL KNOWLEDGE AND INFORMATION SYSTEMS","","","","","","","","","","","","","","",""
"ML9BJMUN","conferencePaper","2023","Behnke, G; Wais, N; ACM","On the Semantic Difference of Judicial and Standard Language","University of Amsterdam","979-8-4007-0197-9","","10.1145/3594536.3595123","","Legal language is considered to be a key obstacle to the comprehensibility of court decisions for laypeople. While differences between written 'standard' and legal language have already been analysed with regard to syntactic peculiarities, there is still a lack of findings on the influence of divergent word meanings on comprehensibility. We present the course and the preliminary results of a study elaborating such ambiguities on the basis of over half a million German court decisions. As these differences are highly language-dependent, our study consequentially relates (only) to German.","2023","2024-10-27 16:07:34","2024-10-27 16:07:34","","382-386","","","","","","","","","","","","","English","","","","WOS:001139079400040","","","","","","","NLP; semantics of legal texts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PROCEEDINGS OF THE 19TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND LAW, ICAIL 2023","","","","","","","","","","","","","","",""
"67MIRAML","journalArticle","2024","Schepers, I; Medvedeva, M; Bruijn, M; Wieling, M; Vols, M","Predicting citations in Dutch case law with natural language processing","ARTIFICIAL INTELLIGENCE AND LAW","","0924-8463","10.1007/s10506-023-09368-5","","With the ever-growing accessibility of case law online, it has become challenging to manually identify case law relevant to one's legal issue. In the Netherlands, the planned increase in the online publication of case law is expected to exacerbate this challenge. In this paper, we tried to predict whether court decisions are cited by other courts or not after being published, thus in a way distinguishing between more and less authoritative cases. This type of system may be used to process the large amounts of available data by filtering out large quantities of non-authoritative decisions, thus helping legal practitioners and scholars to find relevant decisions more easily, and drastically reducing the time spent on preparation and analysis. For the Dutch Supreme Court, the match between our prediction and the actual data was relatively strong (with a Matthews Correlation Coefficient of 0.60). Our results were less successful for the Council of State and the district courts (MCC scores of 0.26 and 0.17, relatively). We also attempted to identify the most informative characteristics of a decision. We found that a completely explainable model, consisting only of handcrafted metadata features, performs almost as well as a less well-explainable system based on all text of the decision.","2024-09","2024-10-27 16:07:34","2024-10-27 16:07:34","","807-837","","3","32","","","","","","","","","","English","","","","WOS:001018103700001","","","","","","","Case law; Citation analysis; Judicial decisions; Machine learning; Natural language processing; NETWORK ANALYSIS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ASJTJWRH","journalArticle","2022","Williams, C","Framing the Future: The Foundation Series, Foundation Models and Framing AI","LAW TECHNOLOGY AND HUMANS","","2652-4074","10.5204/lthj.2452","","Are we at risk of preserving in digital aspic current hegemonic ways of doing, talking and thinking about law and economy? Our dominant frames are those of neoclassical economics and doctrinal law, which, combined, align with neoliberal assumptions and preferences. Invisible through their ubiquity, these partially reveal and conceal problems and solutions, perpetuating inequalities. And yet, unlike social biases, our framing tends to fly largely under the radar, as we see in Isaac Asimov's Foundation series. Taking three themes from Asimov's work that align with current hegemonic frames, namely the centrality of the individual as the subject, a belief in scientism and technological progress to save humanity, and a dissatisfaction with the limitations of language, this paper explores what, how and why we might exercise caution in the development of natural language processing (NLP) artificial intelligence (AI). By drawing parallels with Asimov's work and the development of foundation models that underpin all NLP AI systems, this paper asks to what extent neoliberal framing and the inequalities perpetuated therein might come to be embedded in future technologies.","2022","2024-10-27 16:07:34","2024-10-27 16:07:34","","109-123","","2","4","","","","","","","","","","English","","","","WOS:000892027600008","","","","","","","Artificial intelligence (AI); Asimov; foundation models; LAW; Natural Language Processing (NLP); Science fiction","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RGTZB3I2","journalArticle","2024","Pais, V; Ion, R; Irimia, E; Mititelu, VB; Badea, V; Tufis, D","System for the anonymization of Romanian jurisprudence","ARTIFICIAL INTELLIGENCE AND LAW","","0924-8463","10.1007/s10506-024-09420-y","","The transparency of the judicial process and the consistency of judicial decisions can be improved through their publication. Access to jurisprudence is of paramount importance both for law professionals (judges, lawyers, law students) and for the larger public. However, public access must ensure the preservation of privacy for people involved, in accordance with national and international regulations. This paper presents the work behind building an artificial intelligence system for the anonymization of Romanian jurisprudence, allowing it to be accessed through the ReJust portal operated by the Superior Council of Magistracy in Romania.","2024-09-11","2024-10-27 16:07:34","2024-10-27 16:07:34","","","","","","","","","","","","","","","English","","","","WOS:001310020200001","","","","","","","Natural language processing; Anonymization; Jurisprudence; Romanian language","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XVRTNUVR","journalArticle","2023","Coupette, C; Hartung, D; Beckedorf, J; Böther, M; Katz, DM","Law Smells Defining and Detecting Problematic Patterns in Legal Drafting","ARTIFICIAL INTELLIGENCE AND LAW","","0924-8463","10.1007/s10506-022-09315-w","","Building on the computer science concept of code smells, we initiate the study of law smells, i.e., patterns in legal texts that pose threats to the comprehensibility and maintainability of the law. With five intuitive law smells as running examples-namely, duplicated phrase, long element, large reference tree, ambiguous syntax, and natural language obsession-, we develop a comprehensive law smell taxonomy. This taxonomy classifies law smells by when they can be detected, which aspects of law they relate to, and how they can be discovered. We introduce text-based and graph-based methods to identify instances of law smells, confirming their utility in practice using the United States Code as a test case. Our work demonstrates how ideas from software engineering can be leveraged to assess and improve the quality of legal code, thus drawing attention to an understudied area in the intersection of law and computer science and highlighting the potential of computational legal drafting.","2023-06","2024-10-27 16:07:34","2024-10-27 16:07:34","","335-368","","2","31","","","","","","","","","","English","","","","WOS:000806657000001","","","","","","","Natural language processing; CODE QUALITY; Law; Network analysis; Refactoring; Software engineering","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Z4JMRDL4","journalArticle","2023","Medvedeva, M; Wieling, M; Vols, M","Rethinking the field of automatic prediction of court decisions","ARTIFICIAL INTELLIGENCE AND LAW","","0924-8463","10.1007/s10506-021-09306-3","","In this paper, we discuss previous research in automatic prediction of court decisions. We define the difference between outcome identification, outcome-based judgement categorisation and outcome forecasting, and review how various studies fall into these categories. We discuss how important it is to understand the legal data that one works with in order to determine which task can be performed. Finally, we reflect on the needs of the legal discipline regarding the analysis of court judgements.","2023-03","2024-10-27 16:07:34","2024-10-27 16:07:34","","195-212","","1","31","","","","","","","","","","English","","","","WOS:000746791200001","","","","","","","Case law; Judicial decisions; Machine learning; Natural language processing; OUTCOMES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"A6SBFF3G","journalArticle","2024","Bertalan, VGF; Ruiz, EES","Using attention methods to predict judicial outcomes","ARTIFICIAL INTELLIGENCE AND LAW","","0924-8463","10.1007/s10506-022-09342-7","","The prediction of legal judgments is one of the most recognized fields in Natural Language Processing, Artificial Intelligence, and Law combined. By legal prediction, we mean intelligent systems capable of predicting specific judicial characteristics such as the judicial outcome, the judicial class, and the prediction of a particular case. In this study, we used an artificial intelligence classifier to predict the decisions of Brazilian courts. Also, kindly confirm the details in the metadata are correct. To this end, we developed a text crawler to extract data from official Brazilian electronic legal systems, consisting of two datasets of cases of second-degree murder and active corruption. We applied various classifiers, such as Support Vector Machines, Neural Networks, and others, to predict judicial outcomes by analyzing text features from the dataset. Our research demonstrated that Regression Trees, Gated Recurring Units, and Hierarchical Attention Networks tended to have higher metrics across our datasets. As the final goal, we searched the weights of one of the algorithms, Hierarchical Attention Networks, to find samples of the words that might be used to acquit or convict defendants based on their relevance to the algorithm.","2024-03","2024-10-27 16:07:34","2024-10-27 16:30:55","","87-115","","1","32","","","","","","","","","","English","","","","WOS:000905015800001","","","","","","","CLASSIFICATION; Hierarchical attention networks; LEGAL; Legal prediction; Machine learning; Natural language processing; RESOLUTION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8YX764P3","journalArticle","2024","Ragazzi, L; Moro, G; Guidi, S; Frisoni, G","LAWSUIT: a LArge expert-Written SUmmarization dataset of ITalian constitutional court verdicts","ARTIFICIAL INTELLIGENCE AND LAW","","0924-8463","10.1007/s10506-024-09414-w","","Large-scale public datasets are vital for driving the progress of abstractive summarization, especially in law, where documents have highly specialized jargon. However, the available resources are English-centered, limiting research advancements in other languages. This paper introduces LAWSUIT, a collection of 14K Italian legal verdicts with expert-authored abstractive maxims drawn from the Constitutional Court of the Italian Republic. LAWSUIT presents an arduous task with lengthy source texts and evenly distributed salient content. We offer extensive experiments with sequence-to-sequence and segmentation-based approaches, revealing that the latter achieve better results in full and few-shot settings. We openly release LAWSUIT to foster the development and automation of real-world legal applications.","2024-09-09","2024-10-27 16:07:34","2024-10-27 16:07:34","","","","","","","","","","","","","","","English","","","","WOS:001308283800001","","","","","","","Natural language processing; Law; Abstractive summarization; DOCUMENTS; Italian legal documents; Large-scale dataset","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"U598KU6D","conferencePaper","2023","Zhang, GC; Nulty, P; Lillis, D; ACM","Argument Mining with Graph Representation Learning","University College Dublin","979-8-4007-0197-9","","10.1145/3594536.3595152","","Argument Mining (AM) is a unique task in Natural Language Processing (NLP) that targets arguments: a meaningful logical structure in human language. Since the argument plays a significant role in the legal field, the interdisciplinary study of AM on legal texts has significant promise. For years, a pipeline architecture has been used as the standard paradigm in this area. Although this simplifies the development and management of AM systems, the connection between different parts of the pipeline causes inevitable shortcomings such as cascading error propagation. This paper presents an alternative perspective of the AM task, whereby legal documents are represented as graph structures and the AM task is undertaken as a hybrid approach incorporating Graph Neural Networks (GNNs), graph augmentation and collective classification. GNNs have been demonstrated to be an effective method for representation learning on graphs, and they have been successfully applied to many other NLP tasks. In contrast to previous pipeline-based architecture, our approach results in a single end-to-end classifier for the identification and classification of argumentative text segments. Experiments based on corpora from both the European Court of Human Rights (ECHR) and the Court of Justice of the European Union (CJEU) show that our approach achieves strong results compared to state-of-the-art baselines. Both the graph augmentation and collective classification steps are shown to improve performance on both datasets when compared to using GNNs alone.","2023","2024-10-27 16:07:34","2024-10-27 16:07:34","","371-380","","","","","","","","","","","","","English","","","","WOS:001139079400039","","","","","","","Argument Mining; Graph Neural Networks; Legal Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PROCEEDINGS OF THE 19TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND LAW, ICAIL 2023","","","","","","","","","","","","","","",""
