"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"BVHB5QNH","journalArticle","2022","Amaral, O.; Abualhaija, S.; Torre, D.; Sabetzadeh, M.; Briand, L.C.","AI-Enabled Automation for Completeness Checking of Privacy Policies","IEEE Transactions on Software Engineering","","0098-5589","10.1109/TSE.2021.3124332","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118611511&doi=10.1109%2fTSE.2021.3124332&partnerID=40&md5=ad1f37a0fc4cd3afed652cb677399059","Technological advances in information sharing have raised concerns about data protection. Privacy policies contain privacy-related requirements about how the personal data of individuals will be handled by an organization or a software system (e.g., a web service or an app). In Europe, privacy policies are subject to compliance with the General Data Protection Regulation (GDPR). A prerequisite for GDPR compliance checking is to verify whether the content of a privacy policy is complete according to the provisions of GDPR. Incomplete privacy policies might result in large fines on violating organization as well as incomplete privacy-related software specifications. Manual completeness checking is both time-consuming and error-prone. In this paper, we propose AI-based automation for the completeness checking of privacy policies. Through systematic qualitative methods, we first build two artifacts to characterize the privacy-related provisions of GDPR, namely a conceptual model and a set of completeness criteria. Then, we develop an automated solution on top of these artifacts by leveraging a combination of natural language processing and supervised machine learning. Specifically, we identify the GDPR-relevant information content in privacy policies and subsequently check them against the completeness criteria. To evaluate our approach, we collected 234 real privacy policies from the fund industry. Over a set of 48 unseen privacy policies, our approach detected 300 of the total of 334 violations of some completeness criteria correctly, while producing 23 false positives. The approach thus has a precision of 92.9% and recall of 89.8%. Compared to a baseline that applies keyword search only, our approach results in an improvement of 24.5% in precision and 38% in recall.  © 1976-2012 IEEE.","2022-11-01","2025-01-08 21:06:15","2025-01-08 21:17:01","","4647-4674","","11","48","","IEEE Trans Software Eng","","","","","","","","English","","","Scopus","WOS:000881981800023","","","Number: 11 Publisher: Institute of Electrical and Electronics Engineers Inc.","<p>Export Date: 18 December 2024; Cited By: 23; Correspondence Address: S. Abualhaija; University of Luxembourg, SnT Centre for Security, Reliability, and Trust, Esch-sur-Alzette, 4365, Luxembourg; email: m.sabetzadeh@uottawa.ca; CODEN: IESED</p>; <p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;25<br/>Total Times Cited:&nbsp;&nbsp;25<br/>Cited Reference Count:&nbsp;&nbsp;74</p>; <p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;25<br/>Total Times Cited:&nbsp;&nbsp;25<br/>Cited Reference Count:&nbsp;&nbsp;74</p>; <p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;25<br/>Total Times Cited:&nbsp;&nbsp;25<br/>Cited Reference Count:&nbsp;&nbsp;74</p>; <p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;25<br/>Total Times Cited:&nbsp;&nbsp;25<br/>Cited Reference Count:&nbsp;&nbsp;74</p>","C:\Users\jesus\Desktop\PortableApps\PortableApps\ZoteroPortable\Data\profile\storage\JX27LHLP\Amaral et al. - 2022 - AI-Enabled Automation for Completeness Checking of Privacy Policies.pdf; C:\Users\jesus\Desktop\PortableApps\PortableApps\ZoteroPortable\Data\profile\storage\V6BXFUEU\Amaral et al. - 2022 - AI-Enabled Automation for Completeness Checking of Privacy Policies.pdf","","Application programs; Artificial intelligence; artificial intelligence (AI); Automation; Compliance control; Conceptual model; conceptual modeling; Data privacy; Europe; General Data Protection Regulation; General data protection regulations; Law; Learning algorithms; legal compliance; Legal compliance; Metadata; Natural language processing systems; Organizations; Privacy; privacy policies; Privacy policies; qualitative research; Qualitative research; Requirement engineering; Requirements engineering; Search engines; Software; Supervised learning; The general data protection regulation; the general data protection regulation (GDPR); Web services","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"XWYZ8N2T","journalArticle","2022","Fink, M.; Finck, M.","Reasoned A(I)dministration: Explanation Requirements in EU Law and the Automation of Public Administration","European Law Review","","0307-5400","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85134468684&partnerID=40&md5=f9a9cc1c99882487022f4addaf4a2074","Mechanisms to control public power have been developed and shaped around human beings as decision-makers at the centre of the public administration. However, technology is radically changing how public administration is organised and reliance on Artificial Intelligence is on the rise across all sectors. While carrying the promise of an increasingly efficient administration, automating (parts of) administrative decision-making processes also poses a challenge to our human-centred systems of control of public power. This article focuses on one of these control mechanisms: the duty to give reasons under EU law, a pillar of administrative law designed to enable individuals to challenge decisions and courts to exercise their powers of review. First, it analyses whether the duty to give reasons can be meaningfully applied when EU bodies rely on AI systems to inform their decision-making. Secondly, it examines the added value of secondary law, in particular the data protection rules applicable to EU institutions and the draft EU Artificial Intelligence Act, in complementing and adapting the duty to give reasons to better fulfil its purpose in a (partially) automated administration. This article concludes that the duty to give reasons provides a useful starting point but leaves a number of aspects unclear. While providing important safeguards, neither EU data protection law nor the draft EU Artificial Intelligence Act currently fill these gaps. © 2022 Thomson Reuters and Contributors.","2022-06","2025-01-08 21:06:19","2025-01-08 21:20:44","","376-392","","3","47","","Eur. Law Rev.","Reasoned A(I)dministration","","","","","","","English","","","Scopus","WOS:000813406800006","scholarlypublications.universiteitleiden.nl","","Number: 3 Publisher: Sweet and Maxwell-Thomson Reuters","<p>Export Date: 18 December 2024; Cited By: 16</p>; <p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;9<br/>Total Times Cited:&nbsp;&nbsp;9<br/>Cited Reference Count:&nbsp;&nbsp;103</p>; <p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;9<br/>Total Times Cited:&nbsp;&nbsp;9<br/>Cited Reference Count:&nbsp;&nbsp;103</p>","C:\Users\jesus\Desktop\PortableApps\PortableApps\ZoteroPortable\Data\profile\storage\8E3JY5RB\Fink e Finck - 2022 - Reasoned A(I)dministration explanation requirements in EU law and the automation of public administ.pdf","","Artificial intelligence; Administrative decision-making; Data protection; DECISION-MAKING; EU law; PRINCIPLES; Reasons","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SE5SZ9QC","journalArticle","2021","Calderon-Valencia, F.; Perez-Montoya, J.J.; De Morais, F.S.","AI Systems in Brazilian Supreme Federal Court and the Colombian Constitutional Court Experiences: Prospective Analysis","Revista de Direito, Estado e Telecomunicacoes","","19849729 (ISSN)","10.26512/lstr.v13i1.35614","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85107534301&doi=10.26512%2flstr.v13i1.35614&partnerID=40&md5=78ff65d45c0aa95acbd85ba4ebb69e21","Purpose-To carry out a prospective analysis of the experience of the Supreme Federal Court (STF) and the Colombian Constitutional Court (CCC) with Artificial Intelligence (AI). Methodology-In terms of methodology, we use the qualitative approach, where the data analysis technique is discourse analysis and the unit of analysis are official documents and reports related to disruptive technologies for judicial use, emphasizing those dedicated to ""experience""Colombian with the Pretoria AI. Findings-In Latin America, AI Systems, such as Victor and PretorIA, are automation tools supporting synthesis and prediction tasks in the supreme courts in Brazil and Colombia. However, they are not magic solutions to solve judicial congestion, although the 4th Industrial Revolution bring progress for positive changes. The significant challenges, however, are also in law theory through an ethical framework for the development, design, and operational work of AI. Nevertheless, our comprehension of those systems remains limited. For this reason, supreme courts must observe positive law and ethics to avoid a tyranny of the code, avoiding their impact over law sources', preventing an algorithm from ""deciding""the criteria for applying the law. Thus, supreme courts need to calibrate and influence its design, preventing its obsolescence, but, above all, preventing human dignity obsolescence, human labor, and power of deliberation. All these are essential for shaping version 4.0 of the Social Rule of Law. Practical implications-Promote the engagement of magistrates and citizenship in design and programming of AI Systems for supreme courts' use, within an ethical framework that prevents human beings, their values, and their rights' obsolescence. Originality-This paper analyzes AI Systems used to solve supreme courts' problems in Brazil and Colombia, studying how they work, but also its additional features considering theories that allow affirming that programming and design are subject to the Rule of Law rules and a Human Rights oriented ethical framework. © 2021 The Author(s).","2021","2025-01-08 21:06:22","2025-01-08 21:06:22","","143-169","","1","13","","Rev. Direito Estado Telecomunicacoes","Sistemas De Ia En La Experiencia Del Supremo Tribunal Federal BrasileÑO Y La Corte Constitucional Colombiana: AnÁLisis Prospectivo","","","","","","","Spanish","","","Scopus","","","","Number: 1 Publisher: Universidade de Brasilia","<p>Export Date: 18 December 2024; Cited By: 5</p>","C:\Users\jesus\Desktop\PortableApps\PortableApps\ZoteroPortable\Data\profile\storage\WEYDQH4B\Calderon-Valencia et al. - 2021 - AI Systems in Brazilian Supreme Federal Court and the Colombian Constitutional Court Experiences Pr.pdf","","AI Systems; Brazilian Supreme Federal Court's Victor; Colombian Constitutional Court's PretorIA; Ethical framework of AI; Justice and 4th Industrial Revolution","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"6HDAIM5A","journalArticle","2020","Gravett, W.","Is the dawn of the robot lawyer upon us? The fourth industrial revolution and the future of lawyers","Potchefstroom Electronic Law Journal","","17273781 (ISSN)","10.17159/1727-3781/2020/V23I0A6794","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090632481&doi=10.17159%2f1727-3781%2f2020%2fV23I0A6794&partnerID=40&md5=1844ab6805bd4196543338eb3847f2f0","The practice of law has been largely shielded from technological developments in the course of the past 50 years. While the ways in which legal professionals process and share information have evolved with new technologies — primarily with the emergence of personal computers, email and the internet — these technologies have not fundamentally transformed it. However, if media reports are to be believed, advances in technology in general — and the field known as ""Artificial Intelligence"" (AI) in particular — are on lawyers' doorsteps, and the legal industry is on the cusp of radical change. Fuelled by big data, increased computing power and more effective algorithms, AI has the potential to fundamentally transform the way in which legal work is done, the way in which law firms conduct business, and the way in which lawyers deal with clients. A number of technologies that fall under the AI umbrella, such as machine learning, natural language processing, deep learning and others, have already brought about the automation of many tasks that were, until recently, performed exclusively by humans because they required human intelligence. AI systems can also be used to perform many tasks that lawyers routinely perform, such as contract analysis, case prediction and e-discovery. And, according to proponents, these emerging technologies can do it cheaper, faster and more efficiently. This contribution examines the notion that recent advances in technology will ""disrupt"" the legal profession. It first describes the astonishing advances in technological progress, especially the recent rise of AI. It then considers the technologies and areas of legal practice most susceptible to this disruption. It concludes by envisaging what AI might mean for the legal profession, and how current technological trends might, in a relatively short period of time, transform the way in which legal services are delivered. © 2020, North-West Unversity. All rights reserved.","2020","2025-01-08 21:06:25","2025-01-08 21:06:25","","1-37","","","23","","Potchefstroom Electron. Law J.","","","","","","","","English","","","Scopus","","","","Publisher: North-West Unversity","<p>Export Date: 18 December 2024; Cited By: 6; Correspondence Address: W. Gravett; University of Pretoria, South Africa; email: Willem.Gravett@up.ac.za</p>","C:\Users\jesus\Desktop\PortableApps\PortableApps\ZoteroPortable\Data\profile\storage\P47IPW62\Gravett - 2020 - Is the dawn of the robot lawyer upon us The fourth industrial revolution and the future of lawyers.pdf","","Natural language processing; Artificial Intelligence; Machine learning; Deep learning; Disruption; Fourth Industrial Revolution; Legal practice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7KK8LWV8","journalArticle","2020","Davis, A.E.","The future of law firms (and lawyers) in the age of artificial intelligence","Revista Direito GV","","1808-2432","10.1590/2317-6172201945","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85090527121&doi=10.1590%2f2317-6172201945&partnerID=40&md5=fc37caa4e681a8f07c4ae6a46375adb7","This article explores the future for lawyers and law firms in the light of the changes that Artificial Intelligence (""AI"") is already bringing to the universe of legal services. Part I briefly describes some of the ways AI is already in use in ordinary life-from facial recognition, through medical diagnosis to translation services. Part II describes how AI is transforming what it means to provide legal services in six primary areas: Litigation review; expertise automation; legal research; contract analytics; contract and litigation document generation; and predictive analytics. Part III explores who are the providers of these AI driven legal services-often non-lawyer legal service providers-and how these providers are replacing at least some of what clients have traditionally sought from lawyers. Part III also discusses the implications of all these changes both for the future role of lawyers individually, and in particular what services will clients still need lawyers to perform: Judgment, empathy, creativity and adaptability. In turn, this Part examines what will these changes mean for the size, shape, composition and economic model of law firms, as well as the implications of these changes for legal education and lawyer training. Part IV identifies the principal legal, ethical, regulatory and risk management issues raised by the use of AI in the provision of legal services. Finally, in Part V the article considers who will be the likely providers of AI based services other than law firms: Legal publishers, major accounting firms and venture capital funded businesses. © 2020 Fundacao Getulio Vargas, Escola de Direito de Sao Paulo. All rights reserved.","2020","2025-01-08 21:06:29","2025-01-08 21:20:57","","1DUMMT","","1","16","","Rev. Direito GV","O Futuro dos escritorios de advocacia (e dos advogados) na era da inteligencia artificial","","","","","","","English","","","Scopus","WOS:000527400100007","","","Number: 1 Publisher: Fundacao Getulio Vargas, Escola de Direito de Sao Paulo","<p>Export Date: 18 December 2024; Cited By: 10</p>; <p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;3<br/>Total Times Cited:&nbsp;&nbsp;3<br/>Cited Reference Count:&nbsp;&nbsp;2</p>; <p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;3<br/>Total Times Cited:&nbsp;&nbsp;3<br/>Cited Reference Count:&nbsp;&nbsp;2</p>","C:\Users\jesus\Desktop\PortableApps\PortableApps\ZoteroPortable\Data\profile\storage\5I9DHYKI\Davis - 2020 - The future of law firms (and lawyers) in the age of artificial intelligence.pdf","","Artificial Intelligence (AI); Future of Legal Services; Law Firms; Lawyers; Legal Service Providers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"K8UPEMGZ","journalArticle","2019","Lexer, M.G.; Scarcella, L.","Artificial Intelligence and Labor Markets. A Critical Analysis of Solution Models from a Tax Law and Social Security Law Perspective","Rivista Italiana di Informatica e Diritto","","27047318 (ISSN)","10.32091/RIID0004","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85128431915&doi=10.32091%2fRIID0004&partnerID=40&md5=7a5750d439449c7571aa4067b83d82e5","Discussions on how to face problems regarding the changes within labor markets due to technology have so far been led by economists, who have mostly suggested a change within the social security system via the introduction of an unconditional basic income (UBI). Since Finland launched an experiment which examines the introduction of a UBI as a possible solution to these changes at the beginning of 2017, certain legal as well as socio-economic aspects will be pointed out that generally have to be considered by national governments when introducing a UBI. The second part of the essay focuses on possible different designs of the so-called ""Robot-tax"" which recently has been one of the central point of debate in relation to the overtaking of typically human jobs by AI and their impact on state finances. The two different scenarios, referred to A and B, represent the basis for a possibly necessary adaptation within social security law as well as the tax law sector. The main reason we chose to discuss the possible implementation of a UBI and of a ""Robot-tax"", instead of other possible measures, is that current discussions, especially within Europe, mainly focus on exactly these instruments. © 2019, Consiglio Nazionale delle Ricerche. All rights reserved.","2019","2025-01-08 21:06:30","2025-01-08 21:06:30","","53-73","","1","2019","","Riv. Ital. Inform. Dirit.","Intelligenza artificiale e mercato del lavoro. Una analisi critica delle possibili soluzioni nella prospettiva del diritti tributario e della previdenza sociale","","","","","","","English","","","Scopus","","","","Number: 1 Publisher: Consiglio Nazionale delle Ricerche","<p>Export Date: 18 December 2024; Cited By: 5</p>","C:\Users\jesus\Desktop\PortableApps\PortableApps\ZoteroPortable\Data\profile\storage\MBEMQB86\Lexer e Scarcella - 2019 - Artificial Intelligence and Labor Markets. A Critical Analysis of Solution Models from a Tax Law and.pdf","","Artificial intelligence; Automation; Job loss; Robot tax; Unconditional Basic Income","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"LAS34QC4","journalArticle","2019","Dymitruk, M.","The right to a fair trial in automated civil proceedings","Masaryk University Journal of Law and Technology","","18025943 (ISSN)","10.5817/MUJLT2019-1-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85070986202&doi=10.5817%2fMUJLT2019-1-2&partnerID=40&md5=8e607d83b97ab5ed75d30fa469c03d14","Challenges associated with the use of artificial intelligence (AI) in law are one of the most hotly debated issues today. This paper draws attention to the question of how to safeguard the right to a fair trial in the light of rapidly changing technologies significantly affecting the judiciary and enabling automation of the civil procedure. The paper does not intend to comprehensively address all aspects related to the right to a fair trial in the context of the automation of civil proceedings but rather seeks to analyse some legal concerns from the perspective of the Article 6 of the European Convention on Human Rights and the case-law of the European Court of Human Rights. Section 1 discusses the issues of using artificial intelligence in the justice and automation of the judicial proceedings. Section 2 is devoted to the judge supporting system based on artificial intelligence and psychological requirements of its practical use. Section 3 presents the right to a fair trial in civil cases established by the Article 6 of the European Convention on Human Rights, while subsequent sections characterize its elements with respect to the possibility to automate civil proceedings: a right to have case heard within a reasonable time in section 4 and a right to a reasoned judgment in section 5. © 2019, Masaryk University Journal of Law and Technology. All rights reserved.","2019","2025-01-08 21:06:33","2025-01-08 21:06:33","","27-44","","1","13","","Masaryk Univ. J. Law Technol.","","","","","","","","English","","","Scopus","","","","Number: 1 Publisher: Masaryk University Journal of Law and Technology","<p>Export Date: 18 December 2024; Cited By: 14; Correspondence Address: M. Dymitruk; Research Centre on Legal and Economic Issues of Electronic Communication, Faculty of Law, Administration and Economics, University of Wrocław, Poland; email: maria.dymitruk@uwr.edu.pl</p>","C:\Users\jesus\Desktop\PortableApps\PortableApps\ZoteroPortable\Data\profile\storage\3K2EKY6J\Dymitruk - 2019 - The right to a fair trial in automated civil proceedings.pdf","","Artificial intelligence; Automation; Civil proceedings; Right to a fair trial","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"WLFMSUPF","journalArticle","2019","Malgieri, G.","Automated decision-making in the EU Member States: The right to explanation and other “suitable safeguards” in the national legislations","Computer Law and Security Review","","0267-3649","10.1016/j.clsr.2019.05.002","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068436639&doi=10.1016%2fj.clsr.2019.05.002&partnerID=40&md5=c45de188e1d45457c7c99b2dc478dc61","The aim of this paper is to analyse the very recently approved national Member States’ laws that have implemented the GDPR in the field of automated decision-making (prohibition, exceptions, safeguards): all national legislations have been analysed and in particular 9 Member States Law address the case of automated decision making providing specific exemptions and relevant safeguards, as requested by Article 22(2)(b) of the GDPR (Belgium, The Netherlands, France, Germany, Hungary, Slovenia, Austria, the United Kingdom, Ireland). The approaches are very diverse: the scope of the provision can be narrow (just automated decisions producing legal or similarly detrimental effects) or wide (any decision with a significant impact) and even specific safeguards proposed are very diverse. After this overview, this article will also address the following questions: are Member States free to broaden the scope of automated decision-making regulation? Are ‘positive decisions’ allowed under Article 22, GDPR, as some Member States seem to affirm? Which safeguards can better guarantee rights and freedoms of the data subject? In particular, while most Member States refers just to the three safeguards mentioned at Article 22(3) (i.e. subject's right to express one's point of view; right to obtain human intervention; right to contest the decision), three approaches seem very innovative: a) some States guarantee a right to legibility/explanation about the algorithmic decisions (France and Hungary); b) other States (Ireland and United Kingdom) regulate human intervention on algorithmic decisions through an effective accountability mechanism (e.g. notification, explanation of why such contestation has not been accepted, etc.); c) another State (Slovenia) require an innovative form of human rights impact assessments on automated decision-making. © 2019 The Authors","2019-10","2025-01-08 21:06:35","2025-01-08 21:17:07","","","","5","35","","Comput Law Secur. Rev.","","","","","","","","English","","","Scopus","WOS:000491685200002","","","Number: 5 Publisher: Elsevier Ltd","<p>Export Date: 18 December 2024; Cited By: 89; Correspondence Address: G. Malgieri; Gianclaudio Malgieri, Vrije Universiteit Brussel, Brussels, Pleinlaan 2, 1020, Belgium; email: gianclaudio.malgieri@vub.ac.be; CODEN: CLSRE</p>; <p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;74<br/>Total Times Cited:&nbsp;&nbsp;81<br/>Cited Reference Count:&nbsp;&nbsp;59</p>; <p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;74<br/>Total Times Cited:&nbsp;&nbsp;81<br/>Cited Reference Count:&nbsp;&nbsp;59</p>","C:\Users\jesus\Desktop\PortableApps\PortableApps\ZoteroPortable\Data\profile\storage\4S4JAV4Y\Malgieri - 2019 - Automated decision-making in the EU Member States The right to explanation and other “suitable safe.pdf","","Artificial intelligence; Automation; Data privacy; AI; Decision making; Laws and legislation; Automated decision making; GDPR; Algorithmic impact assessment; Article 22; Automated decision-making; Data Protection; Impact assessments; Legibility; Right to contest; Right to explanation; Suitable safeguards","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"QUDI23DX","journalArticle","2019","Rogers, J.; Bell, F.","The Ethical AI Lawyer: What is Required of Lawyers When They Use Automated Systems?","Law, Technology and Humans","","2652-4074","10.5204/lthj.v1i0.1324","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85116751225&doi=10.5204%2flthj.v1i0.1324&partnerID=40&md5=ac9e7164443f3d4a8f2795eb6d449ea0","This article focuses on individual lawyers’ responsible use of artificial intelligence (AI) in their practice. More specifically, it examines the ways in which a lawyer’s ethical capabilities and motivations are tested by the rapid growth of automated systems, both to identify the ethical risks posed by AI tools in legal services, and to uncover what is required of lawyers when they use this technology. To do so, we use psychologist James Rest’s Four-component Model of Morality (FCM), which represents the necessary elements for lawyers to engage in professional conduct when utilising AI. We examine issues associated with automation that most seriously challenge each component in context, as well as the skills and resolve lawyers need to adhere to their ethical duties. Importantly, this approach is grounded in social psychology. That is, by looking at human ‘thinking and doing’ (i.e., lawyers’ motivations and capacity when using AI), this offers a different, complementary perspective to the typical, legislative approach in which the law is analysed for regulatory gaps. © The Author/s 2019","2019","2025-01-08 21:06:40","2025-01-08 21:06:40","","80-99","","1","1","","Law. Tech. Hum.","","","","","","","","English","","","Scopus","WOS:000891994400006","","","Number: 1 Publisher: Queensland University of Technology","<p>Export Date: 18 December 2024; Cited By: 7</p>; <p>Times Cited in Web of Science Core Collection:&nbsp;&nbsp;5<br/>Total Times Cited:&nbsp;&nbsp;5<br/>Cited Reference Count:&nbsp;&nbsp;126</p>","C:\Users\jesus\Desktop\PortableApps\PortableApps\ZoteroPortable\Data\profile\storage\JGD9VQGD\Rogers e Bell - 2019 - The Ethical AI Lawyer What is Required of Lawyers When They Use Automated Systems.pdf","","AI; Artificial Intelligence; Lawyers; DEFINING ISSUES TEST; FIRMS; FUTURE; legal practice; LEGAL PROFESSION; professional ethics; SERVICES; TECHNOLOGY; VALUES; WORK","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZU2VZKMC","conferencePaper","2017","Golz, S.","Linked democracy 3.0: Global machine translated legislation in the age of AI","CEUR Workshop Proc.","16130073 (ISSN)","","","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85029227309&partnerID=40&md5=df0f8dfb386e3dacd9d98e9a32bdc430","This paper outlines the efforts made by Global-Regulation, a world legislation search engine, to engage artificial intelligence in two ways: (i) employing machine translation to translate the world's legislation to English and, (ii) creating an automated system to identify compliance clauses and extract penalties from legislation. This paper describes Global-Regulation's vision and technology in the context of linked democracy and the democratization of artificial intelligence.","2017-05-26","2025-01-08 21:06:44","2025-01-08 21:06:44","","98-105","","","1897","","","","","","","","CEUR-WS","","English","","","Scopus","","ResearchGate","","Journal Abbreviation: CEUR Workshop Proc.","<p>Export Date: 18 December 2024; Cited By: 0; Correspondence Address: S. Golz; University of Waikato, Hamilton, New Zealand; email: sean.goltz@waikato.ac.nz; Conference name: 2017 Workshop on Linked Democracy: Artificial Intelligence for Democratic Innovation, LINKDEM 2017; Conference code: 130027</p>","C:\Users\jesus\Desktop\PortableApps\PortableApps\ZoteroPortable\Data\profile\storage\SBLXD7W4\Goltz - 2017 - Linked Democracy 3.0-Global Machine Translated Legislation and Compliance in the Age of Artificial I.pdf; ","https://www.researchgate.net/publication/317165882_Linked_Democracy_30-Global_Machine_Translated_Legislation_and_Compliance_in_the_Age_of_Artificial_Intelligence#fullTextFileContent","Artificial intelligence; Automation; Search engines; AI; Laws and legislation; Compliance; Computational linguistics; Computer aided language translation; Democratization; Linked democracy; Machine translation; Machine translations; Penalties; Translation (languages)","","Poblet M.; Casanovas P.; Plaza E.; Casanovas P.","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","CEUR Workshop Proceedings","","","","","","","","","","","","","","",""
