"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"SMUJNQ3L","conferencePaper","2023","Behnke, G; Wais, N; ACM","On the Semantic Difference of Judicial and Standard Language","University of Amsterdam","979-8-4007-0197-9","","10.1145/3594536.3595123","","Legal language is considered to be a key obstacle to the comprehensibility of court decisions for laypeople. While differences between written 'standard' and legal language have already been analysed with regard to syntactic peculiarities, there is still a lack of findings on the influence of divergent word meanings on comprehensibility. We present the course and the preliminary results of a study elaborating such ambiguities on the basis of over half a million German court decisions. As these differences are highly language-dependent, our study consequentially relates (only) to German.","2023","2024-11-03 11:44:16","2024-11-03 11:44:16","","382-386","","","","","","","","","","","","","English","","","","WOS:001139079400040","","","","","","","NLP; semantics of legal texts","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PROCEEDINGS OF THE 19TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND LAW, ICAIL 2023","","","","","","","","","","","","","","",""
"HJZJDGTC","journalArticle","2024","Schepers, I; Medvedeva, M; Bruijn, M; Wieling, M; Vols, M","Predicting citations in Dutch case law with natural language processing","ARTIFICIAL INTELLIGENCE AND LAW","","0924-8463","10.1007/s10506-023-09368-5","","With the ever-growing accessibility of case law online, it has become challenging to manually identify case law relevant to one's legal issue. In the Netherlands, the planned increase in the online publication of case law is expected to exacerbate this challenge. In this paper, we tried to predict whether court decisions are cited by other courts or not after being published, thus in a way distinguishing between more and less authoritative cases. This type of system may be used to process the large amounts of available data by filtering out large quantities of non-authoritative decisions, thus helping legal practitioners and scholars to find relevant decisions more easily, and drastically reducing the time spent on preparation and analysis. For the Dutch Supreme Court, the match between our prediction and the actual data was relatively strong (with a Matthews Correlation Coefficient of 0.60). Our results were less successful for the Council of State and the district courts (MCC scores of 0.26 and 0.17, relatively). We also attempted to identify the most informative characteristics of a decision. We found that a completely explainable model, consisting only of handcrafted metadata features, performs almost as well as a less well-explainable system based on all text of the decision.","2024-09","2024-11-03 11:44:16","2024-11-03 11:44:16","","807-837","","3","32","","","","","","","","","","English","","","","WOS:001018103700001","","","","","","","Case law; Citation analysis; Judicial decisions; Machine learning; Natural language processing; NETWORK ANALYSIS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"DV8MFXTW","journalArticle","2023","Medvedeva, M; Wieling, M; Vols, M","Rethinking the field of automatic prediction of court decisions","ARTIFICIAL INTELLIGENCE AND LAW","","0924-8463","10.1007/s10506-021-09306-3","","In this paper, we discuss previous research in automatic prediction of court decisions. We define the difference between outcome identification, outcome-based judgement categorisation and outcome forecasting, and review how various studies fall into these categories. We discuss how important it is to understand the legal data that one works with in order to determine which task can be performed. Finally, we reflect on the needs of the legal discipline regarding the analysis of court judgements.","2023-03","2024-11-03 11:44:17","2024-11-03 11:44:17","","195-212","","1","31","","","","","","","","","","English","","","","WOS:000746791200001","","","","","","","Case law; Judicial decisions; Machine learning; Natural language processing; OUTCOMES","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"8BT8UY57","journalArticle","2024","Bertalan, VGF; Ruiz, EES","Using attention methods to predict judicial outcomes","ARTIFICIAL INTELLIGENCE AND LAW","","0924-8463","10.1007/s10506-022-09342-7","","The prediction of legal judgments is one of the most recognized fields in Natural Language Processing, Artificial Intelligence, and Law combined. By legal prediction, we mean intelligent systems capable of predicting specific judicial characteristics such as the judicial outcome, the judicial class, and the prediction of a particular case. In this study, we used an artificial intelligence classifier to predict the decisions of Brazilian courts. Also, kindly confirm the details in the metadata are correct. To this end, we developed a text crawler to extract data from official Brazilian electronic legal systems, consisting of two datasets of cases of second-degree murder and active corruption. We applied various classifiers, such as Support Vector Machines, Neural Networks, and others, to predict judicial outcomes by analyzing text features from the dataset. Our research demonstrated that Regression Trees, Gated Recurring Units, and Hierarchical Attention Networks tended to have higher metrics across our datasets. As the final goal, we searched the weights of one of the algorithms, Hierarchical Attention Networks, to find samples of the words that might be used to acquit or convict defendants based on their relevance to the algorithm.","2024-03","2024-11-03 11:44:17","2024-11-03 12:54:45","","87-115","","1","32","","","","","","","","","","English","","","","WOS:000905015800001","","","","","","","Machine learning; Natural language processing; CLASSIFICATION; Hierarchical attention networks; LEGAL; Legal prediction; RESOLUTION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"M78KS4W4","journalArticle","2024","Ragazzi, L; Moro, G; Guidi, S; Frisoni, G","LAWSUIT: a LArge expert-Written SUmmarization dataset of ITalian constitutional court verdicts","ARTIFICIAL INTELLIGENCE AND LAW","","0924-8463","10.1007/s10506-024-09414-w","","Large-scale public datasets are vital for driving the progress of abstractive summarization, especially in law, where documents have highly specialized jargon. However, the available resources are English-centered, limiting research advancements in other languages. This paper introduces LAWSUIT, a collection of 14K Italian legal verdicts with expert-authored abstractive maxims drawn from the Constitutional Court of the Italian Republic. LAWSUIT presents an arduous task with lengthy source texts and evenly distributed salient content. We offer extensive experiments with sequence-to-sequence and segmentation-based approaches, revealing that the latter achieve better results in full and few-shot settings. We openly release LAWSUIT to foster the development and automation of real-world legal applications.","2024-09-09","2024-11-03 11:44:17","2024-11-03 11:44:17","","","","","","","","","","","","","","","English","","","","WOS:001308283800001","","","","","","","Natural language processing; Law; Abstractive summarization; DOCUMENTS; Italian legal documents; Large-scale dataset","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"7XZCLWAE","conferencePaper","2023","Zhang, GC; Nulty, P; Lillis, D; ACM","Argument Mining with Graph Representation Learning","University College Dublin","979-8-4007-0197-9","","10.1145/3594536.3595152","","Argument Mining (AM) is a unique task in Natural Language Processing (NLP) that targets arguments: a meaningful logical structure in human language. Since the argument plays a significant role in the legal field, the interdisciplinary study of AM on legal texts has significant promise. For years, a pipeline architecture has been used as the standard paradigm in this area. Although this simplifies the development and management of AM systems, the connection between different parts of the pipeline causes inevitable shortcomings such as cascading error propagation. This paper presents an alternative perspective of the AM task, whereby legal documents are represented as graph structures and the AM task is undertaken as a hybrid approach incorporating Graph Neural Networks (GNNs), graph augmentation and collective classification. GNNs have been demonstrated to be an effective method for representation learning on graphs, and they have been successfully applied to many other NLP tasks. In contrast to previous pipeline-based architecture, our approach results in a single end-to-end classifier for the identification and classification of argumentative text segments. Experiments based on corpora from both the European Court of Human Rights (ECHR) and the Court of Justice of the European Union (CJEU) show that our approach achieves strong results compared to state-of-the-art baselines. Both the graph augmentation and collective classification steps are shown to improve performance on both datasets when compared to using GNNs alone.","2023","2024-11-03 11:44:17","2024-11-03 11:44:17","","371-380","","","","","","","","","","","","","English","","","","WOS:001139079400039","","","","","","","Argument Mining; Graph Neural Networks; Legal Text","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PROCEEDINGS OF THE 19TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND LAW, ICAIL 2023","","","","","","","","","","","","","","",""
"XS7TZRU8","conferencePaper","2023","van Drie, RAN; de Boer, MHT; Bakker, RM; Tolios, I; Vos, D; ACM","The Dutch Law as a Semantic Role Labeling Dataset","Netherlands Organization Applied Science Research","979-8-4007-0197-9","","10.1145/3594536.3595124","","Legal documents, and specifically law texts, are not easy to understand by humans. The specific terminology and sentence constructions are particular, which also makes it a difficult machine understanding task. In this paper, we present a publicly available benchmark dataset containing Dutch law texts which can be used to train AI models that assist humans equipped with the task of interpreting legal texts. However, the dataset can be used in a broader context, such as semantic role labeling of Dutch (legal) texts. Our dataset contains 4463 annotated sentences from 55 different Dutch laws, in which four roles are annotated by human annotators: action, actor, object and recipient. The inter-annotator agreement is substantial (kappa =0.75). In experiments with a rule-based and a transformer-based method, results show that the transformerbased method performs quite well on the dataset (accuracy > 0.8). These results indicate that we can reliably predict actions, actors, objects and recipients in legal texts. This can help people equipped with the task of formal interpretation of legal texts.","2023","2024-11-03 11:44:17","2024-11-03 11:44:17","","316-322","","","","","","","","","","","","","English","","","","WOS:001139079400033","","","","","","","natural language processing; datasets; legal interpretation; legal text; norms; semantic role labeling","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PROCEEDINGS OF THE 19TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND LAW, ICAIL 2023","","","","","","","","","","","","","","",""
"9PMKVBZW","conferencePaper","2023","Alves, A; Miranda, P; Mello, R; Nascimento, A","Automatic Simplification of Legal Texts in Portuguese Using Machine Learning","Universidade Federal Rural de Pernambuco (UFRPE)","0922-6389","","10.3233/FAIA230975","","Texts produced by the Brazilian judiciary have a complex and technical vocabulary, with elaborate use of the Portuguese language and many legal terms difficult to be understood, generating a barrier in communication between the judiciary and the population. In this sense, the Automatic Text Simplification (ATS), activity of the Natural Language Processing (NLP) area, can be applied to improve the readability of these types of text using specialized algorithms, and promote scalability in simplifying them, in view of the great demand in the courts. In this context, this article presents an evaluation of four methods of state of the art in text simplification, evaluated according to readability metrics, to improve the quality of existing texts in the judicial summaries, dataset containing 100 summaries of the Federal Regional Court of the 5th Region (TRF5) and another 100 of the Federal Supreme Court (STF). The methods MUSS(EN), MUSS(PT), Transformers and NMT + Attention were tested, and the results of the simplifications exceeded the FRE readability index of the original texts, making them more readable.","2023","2024-11-03 11:44:17","2024-11-03 16:46:03","","281-286","","","379","","","","","","","","","","English","","","","WOS:001175464100035","","","","","","","natural language processing; automatic text simplification; machine learning","","Spanakis, J; VanDijck, G; Sileno, G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LEGAL KNOWLEDGE AND INFORMATION SYSTEMS","","","","","","","","","","","","","","",""
"9VK5J34D","journalArticle","2024","Castano, S; Ferrara, A; Furiosi, E; Montanelli, S; Picascia, S; Riva, D; Stefanetti, C","Enforcing legal information extraction through context-aware techniques: The ASKE approach","COMPUTER LAW & SECURITY REVIEW","","0267-3649","10.1016/j.clsr.2023.105903","","To cope with the growing volume, complexity, and articulation of legal documents as well as to foster digital justice and digital law, increasing effort is being devoted to legal knowledge extraction and digital transformation processes. In this paper, we present the ASKE (Automated System for Knowledge Extraction) approach to legal knowledge extraction, based on a combination of context-aware embedding models and zero-shot learning techniques into a three-phase extraction cycle, which is executed a number of times (called generations) to progressively extract concepts representative of the different meanings of terminology used in legal documents chunks. A graph-based data structure called ASKE Conceptual Graph is initially populated through a data preparation step, and it is continuously enriched at each ASKE generation with results of document chunk classification, new extracted terminology, and newly derived concepts. A quantitative evaluation of ASKE knowledge extraction and document classification is provided by considering the EurLex dataset. Furthermore, we present the results of applying ASKE to a real case-study of Italian case law decisions with qualitative feedback from legal experts in the framework of an ongoing national research project.","2024-04","2024-11-03 11:44:18","2024-11-03 11:44:18","","","","","52","","","","","","","","","","English","","","","WOS:001096933600001","","","","","","","Natural Language Processing; Digital justice; Legal knowledge extraction; Legal knowledge graph","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"MDWBR3HR","conferencePaper","2023","Blair-Stanek, A; Holzenberger, N; Van Durme, B; ACM","Can GPT-3 Perform Statutory Reasoning?","University System of Maryland","979-8-4007-0197-9","","10.1145/3594536.3595163","","Statutory reasoning is the task of reasoning with facts and statutes, which are rules written in natural language by a legislature. It is a basic legal skill. In this paper we explore the capabilities of the most capable GPT-3 model, text-davinci-003, on an established statutory-reasoning dataset called SARA. We consider a variety of approaches, including dynamic few-shot prompting, chain-of-thought prompting, and zero-shot prompting. While we achieve results with GPT-3 that are better than the previous best published results, we also identify several types of clear errors it makes. We investigate why these errors happen. We discover that GPT-3 has imperfect prior knowledge of the actual U.S. statutes on which SARA is based. More importantly, we create simple synthetic statutes, which GPT-3 is guaranteed not to have seen during training. We find GPT-3 performs poorly at answering straightforward questions about these simple synthetic statutes.","2023","2024-11-03 11:44:18","2024-11-03 16:46:05","","22-31","","","","","","","","","","","","","English","","","","WOS:001139079400003","","","","","","","natural language processing; GPT-3; law; reasoning; statutes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PROCEEDINGS OF THE 19TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND LAW, ICAIL 2023","","","","","","","","","","","","","","",""
