"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"VRK3BU52","journalArticle","2024","Martínez, E","Re-evaluating GPT-4's bar exam performance","ARTIFICIAL INTELLIGENCE AND LAW","","0924-8463","10.1007/s10506-024-09396-9","","Perhaps the most widely touted of GPT-4's at-launch, zero-shot capabilities has been its reported 90th-percentile performance on the Uniform Bar Exam. This paper begins by investigating the methodological challenges in documenting and verifying the 90th-percentile claim, presenting four sets of findings that indicate that OpenAI's estimates of GPT-4's UBE percentile are overinflated. First, although GPT-4's UBE score nears the 90th percentile when examining approximate conversions from February administrations of the Illinois Bar Exam, these estimates are heavily skewed towards repeat test-takers who failed the July administration and score significantly lower than the general test-taking population. Second, data from a recent July administration of the same exam suggests GPT-4's overall UBE percentile was below the 69th percentile, and similar to \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\sim$$\end{document} 48th percentile on essays. Third, examining official NCBE data and using several conservative statistical assumptions, GPT-4's performance against first-time test takers is estimated to be similar to \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\sim$$\end{document} 62nd percentile, including similar to \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\sim$$\end{document} 42nd percentile on essays. Fourth, when examining only those who passed the exam (i.e. licensed or license-pending attorneys), GPT-4's performance is estimated to drop to similar to \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\sim$$\end{document} 48th percentile overall, and similar to \documentclass[12pt]{minimal} \usepackage{amsmath} \usepackage{wasysym} \usepackage{amsfonts} \usepackage{amssymb} \usepackage{amsbsy} \usepackage{mathrsfs} \usepackage{upgreek} \setlength{\oddsidemargin}{-69pt} \begin{document}$$\sim$$\end{document} 15th percentile on essays. In addition to investigating the validity of the percentile claim, the paper also investigates the validity of GPT-4's reported scaled UBE score of 298. The paper successfully replicates the MBE score, but highlights several methodological issues in the grading of the MPT + MEE components of the exam, which call into question the validity of the reported essay score. Finally, the paper investigates the effect of different hyperparameter combinations on GPT-4's MBE performance, finding no significant effect of adjusting temperature settings, and a significant effect of few-shot chain-of-thought prompting over basic zero-shot prompting. Taken together, these findings carry timely insights for the desirability and feasibility of outsourcing legally relevant tasks to AI models, as well as for the importance for AI developers to implement rigorous and transparent capabilities evaluations to help secure safe and trustworthy AI.","2024-03-30","2024-10-27 16:07:35","2024-10-27 16:30:49","","","","","","","","","","","","","","","English","","","","WOS:001194581100001","","","","","","","Artificial intelligence; Artificial intelligence and law; LAW; Law and technology; Legal analytics; Legal NLP; Legal profession; Machine learning; Natural language processing; NLP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"ZZJC3EME","journalArticle","2024","Egger, C; Caselli, T; Tziafas, G; Phalle, ED; Vries, WD","Extracting and classifying exceptional COVID-19 measures from multilingual legal texts: The merits and limitations of automated approaches","REGULATION & GOVERNANCE","","1748-5983","10.1111/rego.12557","","This paper contributes to ongoing scholarly debates on the merits and limitations of computational legal text analysis by reflecting on the results of a research project documenting exceptional COVID-19 management measures in Europe. The variety of exceptional measures adopted in countries characterized by different legal systems and natural languages, as well as the rapid evolution of such measures, pose considerable challenges to manual textual analysis methods traditionally used in the social sciences. To address these challenges, we develop a supervised classifier to support the manual coding of exceptional policies by a multinational team of human coders. After presenting the results of various natural language processing (NLP) experiments, we show that human-in-the-loop approaches to computational text analysis outperform unsupervised approaches in accurately extracting policy events from legal texts. We draw lessons from our experience to ensure the successful integration of NLP methods into social science research agendas.","2024-07","2024-10-27 16:12:58","2024-10-27 16:30:29","","704-723","","3","18","","","","","","","","","","English","","","","WOS:001079523000001","","","","","","","computational text analysis; COVID-19; crisis governance; EMERGENCY; law-as-data; natural language processing; SCIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"HUM5JFDV","conferencePaper","2021","Razeira, RM; Rodello, IA","A LSTM Recurrent Neural Network Implementation for Classifying Entities on Brazilian Legal Documents","Universidade de Sao Paulo","0302-9743","","10.1007/978-3-030-86960-1_48","","Although the use of Natural Language Processing and Named Entity Recognition methods to deal with classification problems in the most diverse areas is something well-established, applications in Law offer challenges due to the specific terminology, broader vocabulary and the presence of more complex semantic and syntactic structures compared to spoken Portuguese. In this short paper, we present a Recurrent Neural Network implementation using LSTM to classify entities such as class, subject, value, individuals, among others items, in lawsuits. The initial dataset focused on a sample of 100 thousand lawsuits of Sao Paulo state court, in Brazil. The proposed method achieved an accuracy and F1-score of approximately 90% in the tested data. Such preliminary results indicate that it is possible to create a model capable of generalizing such classifications on a large scale even regarding the specifics of Brazilian legal texts terminology.","2021","2024-10-27 16:12:58","2024-10-27 16:12:58","","648-656","","","12950","","","","","","","","","","English","","","","WOS:000722379800048","","","","","","","Natural Language Processing; Legal documents; Named entity recognition","","Gervasi, O; Murgante, B; Misra, S; Garau, C; Blecic, I; Taniar, D; Apduhan, BO; Rocha, AMAC; Tarantino, E; Torre, CM","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","COMPUTATIONAL SCIENCE AND ITS APPLICATIONS, ICCSA 2021, PT II","","","","","","","","","","","","","","",""
"UMHSRT3B","conferencePaper","2022","Núñez-Robinson, D; Talavera-Montalto, J; Ugarte, W","A Comparative Analysis on the Summarization of Legal Texts Using Transformer Models","Universidad Peruana de Ciencias Aplicadas (UPC)","1865-0929","","10.1007/978-3-031-20319-0_28","","Transformer models have evolved natural language processing tasks in machine learning and set a new standard for the state of the art. Thanks to the self-attention component, these models have achieved significant improvements in text generation tasks (such as extractive and abstractive text summarization). However, research works involving text summarization and the legal domain are still in their infancy, and as such, benchmarks and a comparative analysis of these state of the art models is important for the future of text summarization of this highly specialized task. In order to contribute to these research works, the researchers propose a comparative analysis of different, fine-tuned Transformer models and datasets in order to provide a better understanding of the task at hand and the challenges ahead. The results show that Transformer models have improved upon the text summarization task, however, consistent and generalized learning is a challenge that still exists when training the models with large text dimensions. Finally, after analyzing the correlation between objective results and human opinion, the team concludes that the Recall-Oriented Understudy for Gisting Evaluation (ROUGE) [13] metrics used in the current state of the art are limited and do not reflect the precise quality of a generated summary.","2022","2024-10-27 16:12:58","2024-10-27 16:12:58","","372-386","","","1675","","","","","","","","","","English","","","","WOS:000921196400028","","","","","","","Natural language processing; Deep learning; Transformers; Abstractive text summarization; Benchmark","","Guarda, T; Portela, F; Augusto, MF","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","ADVANCED RESEARCH IN TECHNOLOGIES, INFORMATION, INNOVATION AND SUSTAINABILITY, ARTIIS 2022, PT I","","","","","","","","","","","","","","",""
"937LKRL6","journalArticle","2024","Tóth, E; Gal, Z","Optimizing Text Clustering Efficiency through Flexible Latent Dirichlet Allocation Method: Exploring the Impact of Data Features and Threshold Modification","INFOCOMMUNICATIONS JOURNAL","","2061-2079","10.36244/ICJ.2024.5.7","","A parallel corpus comprising Croatian EU legisla tive documents Automatically translated into English spans 28 years and is enriched with metadata, including creation year and hierarchical classifier tags denoting descriptors, document types, and fields. However, nearly two-thirds of the approxi- mately 1.5 thousand tests lack complete metadata, necessitating labor intensive manual efforts that pose challenges for human administration. This incompleteness issue can be observed in the case of official legal sites functioning as regular service provi- sioning databases. In response, this paper introduces an artifi cial cognitive and multilabel classification approach to expedite the tagging process with only a fraction of the manual effort. Leveraging the Latent Dirichlet Allocation (LDA) algorithm. our method assigns field values or tags to incompletely labeled documents. We Esplement a Flexible LDA variant, inco & gcy;& rcy;& ocy;- rating the influence of topics close to the most probable topic, regulated by a relative probability threshold (RPT). We evalu- ate the LDA prediction's de a's dependen & scy;& iecy; & ocy;n document prefiltering and RPT values. Furthermore, we investigate the dependence of quantitative linguistic properties on the type and speciality of pre-processing tasks. Our algorithm, built on error-correcting optimizing codes, successfully predicts a mixture of topic prob- abilities for these legal texts. This prediction is achieved. by cal- by cal culating the Hanming distance of binary feature vectors created using the legal fields of the EUROVOC multilingual thesaurus.","2024","2024-10-27 16:12:58","2024-10-27 16:12:58","","58-66","","","","","","","","","","","","","English","","","","WOS:001318875600008","","","","","","","Natural Language Processing; Artificial Intelligence; Latent Dirichlet Allocation; Legal text clustering; Multilabel classification; Quantitative linguistics; Supervised learning","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"TP89XXWD","journalArticle","2022","Vu, ST; Nguyen, ML; Satoh, K","Abstract meaning representation for legal documents: an empirical research on a human-annotated dataset","ARTIFICIAL INTELLIGENCE AND LAW","","0924-8463","10.1007/s10506-021-09292-6","","Natural language processing techniques contribute more and more in analyzing legal documents recently, which supports the implementation of laws and rules using computers. Previous approaches in representing a legal sentence often based on logical patterns that illustrate the relations between concepts in the sentence, often consist of multiple words. Those representations cause the lack of semantic information at the word level. In our work, we aim to tackle such shortcomings by representing legal texts in the form of abstract meaning representation (AMR), a graph-based semantic representation that gains lots of polarity in NLP community recently. We present our study in AMR Parsing (producing AMR from natural language) and AMR-to-text Generation (producing natural language from AMR) specifically for legal domain. We also introduce JCivilCode, a human-annotated legal AMR dataset which was created and verified by a group of linguistic and legal experts. We conduct an empirical evaluation of various approaches in parsing and generating AMR on our own dataset and show the current challenges. Based on our observation, we propose our domain adaptation method applying in the training phase and decoding phase of a neural AMR-to-text generation model. Our method improves the quality of text generated from AMR graph compared to the baseline model. (This work is extended from our two previous papers: ""An Empirical Evaluation of AMR Parsing for Legal Documents"", published in the Twelfth International Workshop on Juris-informatics (JURISIN) 2018; and ""Legal Text Generation from Abstract Meaning Representation"", published in the 32nd International Conference on Legal Knowledge and Information Systems (JURIX) 2019.).","2022-06","2024-10-27 16:12:58","2024-10-27 16:12:58","","221-243","","2","30","","","","","","","","","","English","","","","WOS:000671705100001","","","","","","","Abstract meaning representation; Deep neural network; Legal document; TRANSLATION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RZ7Z6FCX","journalArticle","2024","Gaubiene, N","Can Artificial Intelligence Engage in the Practice of Law as the Art of Good and Justice?","FILOSOFIJA-SOCIOLOGIJA","","0235-7186","10.6001/fil-soc.2024.35.2","","This article explores whether artificial intelligence (AI) can engage in the practice of law as an art of good and justice. It examines the historical and philosophical foundations of law as the art of promoting societal harmony and resolving moral dilemmas. The research employs critical and philosophical analysis methods integrating insights from legal scholars, ethicists, technologists, and policymakers. The study identifies AI's potential to streamline legal processes, enhance access to justice, and reduce bias in decision -making. However, it also highlights ethical challenges such as transparency, accountability, and the impact on the legal workforce. The article emphasises the importance of striking a balance between technological innovation and human values, advocating for proactive regulation and interdisciplinary cooperation to ensure the ethical development and implementation of AI in law. The results of the study highlight the transformative potential of AI in revolutionising legal practice, emphasising its capacity to streamline processes, improve access to justice, and mitigate bias. However, ethical considerations such as transparency, accountability, and the preservation of human judgment are crucial to ensuring that AI integration in law upholds funda","2024","2024-10-27 16:13:10","2024-10-27 16:13:10","","54-63","","2","35","","","","","","","","","","English","","","","WOS:001278522600001","","","","","","","artificial intelligence; ethics; good and justice; law as an art; pursuit of justice","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"NW6CGKGZ","journalArticle","2018","Simshaw, D","Ethical Issues in Robo-Lawyering: The Need for Guidance on Developing and Using Artificial Intelligence in the Practice of Law","HASTINGS LAW JOURNAL","","0017-8322","","","As in many other industries, artificial intelligence (""AI"") is poised to drastically transform the legal services landscape. ""Bots,"" automated expert systems, and predictive analytics are already changing the way consumers seek, and lawyers provide, legal services. Among other impacts, AI has the potential to increase access to justice in the self-help, individual, and corporate law firm markets by lowering costs and expanding services to untapped markets. A prominent question in early literature on AI in law is whether these services constitute the unauthorized practice of law. Threshold questions of whether and by whom such services should be regulated are important, but will likely not be answered (or even answerable) until AI's impact on the profession is more cognizable. In the meantime, there is currently no comprehensive guidance for attorneys on how AI should be developed, adopted, and used in ways that conform to a lawyer's ethical obligations. Without such guidance, law firms and third-party services risk designing and adopting AI-driven tools that fail to provide effective client-centered services, inhibit wide-spread access to justice, and undermine lawyers' ethical obligations to current and former clients, including the obligations to practice competently, maintain confidentiality, effectively supervise third parties, communicate with clients, and exercise independent judgment and render candid advice. This Article initiates this critical dialogue by exploring the types of AI being implemented in the profession, and identifying characteristics of these emerging services that will present ethical tensions and challenges. It rigorously examines existing guidance from the ABA and state bar authorities concerning new technology in practice, and identifies areas where this guidance is not sufficient to confront the unique ethical issues presented by AI. This article does not attempt to provide detailed or prescriptive guidance on these issues, but rather identifies the imminent challenges not currently being addressed in the literature on AI and legal ethics, or by bar authorities. The concluding recommendations will set the stage for and inform future scholarship and discussions concerning legal ethics, access to justice, and unauthorized practice of law in the age of AI.","2018-12","2024-10-27 16:13:10","2024-10-27 16:13:10","","173-212","","1","70","","","","","","","","","","English","","","","WOS:000455216800004","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"77U3HFIE","conferencePaper","2022","Henderson, P; Chugg, B; Anderson, B; Ho, DE; ACM","Beyond Ads: Sequential Decision-Making Algorithms in Law and Public Policy","Stanford University","978-1-4503-9234-1","","10.1145/3511265.3550439","","We explore the promises and challenges of employing sequential decision-making algorithms - such as bandits, reinforcement learning, and active learning - in law and public policy. While such algorithms have well-characterized performance in the private sector (e.g., online advertising), the tendency to naively apply algorithms motivated by one domain, often online advertisements, can be called the ""advertisement fallacy."" Our main thesis is that law and public policy pose distinct methodological challenges that the machine learning community has not yet addressed. Machine learning will need to address these methodological problems to move ""beyond ads."" Public law, for instance, can pose multiple objectives, necessitate batched and delayed feedback, and require systems to learn rational, causal decision-making policies, each of which presents novel questions at the research frontier. We discuss a wide range of potential applications of sequential decision-making algorithms in regulation and governance, including public health, environmental protection, tax administration, occupational safety, and benefits adjudication. We use these examples to highlight research needed to render sequential decision making policy-compliant, adaptable, and effective in the public sector. We also note the potential risks of such deployments and describe how sequential decision systems can also facilitate the discovery of harms. We hope our work inspires more investigation of sequential decision making in law and public policy, which provide unique challenges for machine learning researchers with potential for significant social benefit.","2022","2024-10-27 16:13:26","2024-10-27 16:13:26","","87-100","","","","","","","","","","","","","English","","","","WOS:001074472400009","","","","","","","GOVERNMENT; BIAS; RISK; Active Learning; AI and Society; Bandits; Law and AI; Reinforcement Learning; Responsible AI; Sequential Decision-making","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PROCEEDINGS OF THE 2022 SYMPOSIUM ON COMPUTER SCIENCE AND LAW, CSLAW 2022","","","","","","","","","","","","","","",""
"GQCBDM3M","journalArticle","2024","Kretschmer, M; Margoni, T; Oruç, P","Copyright Law and the Lifecycle of Machine Learning Models","IIC-INTERNATIONAL REVIEW OF INTELLECTUAL PROPERTY AND COMPETITION LAW","","0018-9855","10.1007/s40319-023-01419-3","","Machine learning, a subfield of artificial intelligence (AI), relies on large corpora of data as input for learning algorithms, resulting in trained models that can perform a variety of tasks. While data or information are not subject matter within copyright law, almost all materials used to construct corpora for machine learning are protected by copyright law: texts, images, videos, and so on. There are global policy moves to address the copyright implications of machine learning, in particular in the context of so-called ""foundation models"" that underpin generative AI. This paper takes a step back, exploring empirically three technological settings through detailed case studies. We set out the established industry methodology of a lifecycle of AI (collecting data, organising data, model training, model operation) to arrive at descriptions suitable for legal analysis. This will allow an assessment of the challenges for a harmonisation of rights, exceptions and disclosure under EU copyright law. The three case studies are:Machine learning for scientific purposes, in the context of a study of regional short-term letting markets;Natural Language Processing (NLP), in the context of large language models;Computer vision, in the context of content moderation of images.We find that the nature and quality of data corpora at the input stage is central to the lifecycle of machine learning. Because of the uncertain legal status of data collection and processing, combined with the competitive advantage gained by firms not disclosing technological advances, the inputs of the models deployed are often unknown. Moreover, the ""lawful access"" requirement of the EU exception for text and data mining may turn the exception into a decision by rightholders to allow machine learning in the context of their decision to allow access. We assess policy interventions at EU level, seeking to clarify the legal status of input data via copyright exceptions, opt-outs or the forced disclosure of copyright materials. We find that the likely result is a fully copyright-licensed environment of machine learning that may have problematic effects for the structure of industry, innovation and scientific research.","2024-01","2024-10-27 16:13:26","2024-10-27 16:30:27","","110-138","","1","55","","","","","","","","","","English","","","","WOS:001155789200001","","","","","","","Artificial intelligence; Copyright; Data mining; Digital single market; EU; TEXT; Text mining","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
