"Key","Item Type","Publication Year","Author","Title","Publication Title","ISBN","ISSN","DOI","Url","Abstract Note","Date","Date Added","Date Modified","Access Date","Pages","Num Pages","Issue","Volume","Number Of Volumes","Journal Abbreviation","Short Title","Series","Series Number","Series Text","Series Title","Publisher","Place","Language","Rights","Type","Archive","Archive Location","Library Catalog","Call Number","Extra","Notes","File Attachments","Link Attachments","Manual Tags","Automatic Tags","Editor","Series Editor","Translator","Contributor","Attorney Agent","Book Author","Cast Member","Commenter","Composer","Cosponsor","Counsel","Interviewer","Producer","Recipient","Reviewed Author","Scriptwriter","Words By","Guest","Number","Edition","Running Time","Scale","Medium","Artwork Size","Filing Date","Application Number","Assignee","Issuing Authority","Country","Meeting Name","Conference Name","Court","References","Reporter","Legal Status","Priority Numbers","Programming Language","Version","System","Code","Code Number","Section","Session","Committee","History","Legislative Body"
"JWV3WKME","journalArticle","2024","Egger, C; Caselli, T; Tziafas, G; Phalle, ED; Vries, WD","Extracting and classifying exceptional COVID-19 measures from multilingual legal texts: The merits and limitations of automated approaches","REGULATION & GOVERNANCE","","1748-5983","10.1111/rego.12557","","This paper contributes to ongoing scholarly debates on the merits and limitations of computational legal text analysis by reflecting on the results of a research project documenting exceptional COVID-19 management measures in Europe. The variety of exceptional measures adopted in countries characterized by different legal systems and natural languages, as well as the rapid evolution of such measures, pose considerable challenges to manual textual analysis methods traditionally used in the social sciences. To address these challenges, we develop a supervised classifier to support the manual coding of exceptional policies by a multinational team of human coders. After presenting the results of various natural language processing (NLP) experiments, we show that human-in-the-loop approaches to computational text analysis outperform unsupervised approaches in accurately extracting policy events from legal texts. We draw lessons from our experience to ensure the successful integration of NLP methods into social science research agendas.","2024-07","2024-10-27 16:07:34","2024-10-27 16:07:34","","704-723","","3","18","","","","","","","","","","English","","","","WOS:001079523000001","","","","","","","computational text analysis; COVID-19; crisis governance; EMERGENCY; law-as-data; natural language processing; SCIENCE","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"RC2S2EXK","conferencePaper","2023","Darji, H; Mitrovic, J; Granitzer, M; ACM","A Dataset of German Legal Reference Annotations","University of Passau","979-8-4007-0197-9","","10.1145/3594536.3595173","","The field of legal Natural Language Processing faces a lot of challenges due to the unavailability of properly structured datasets. One such instance is the need for a dataset that not only separates different parts of legal references, such as an article or paragraph number but also provides information about what a particular legal reference dictates. Having access to such a dataset can provide easy access to researchers working on experiments such as context similarity between law texts and legal cases that refer to a particular law. In this paper, we present a dataset of 2944 legal references in German law that are manually annotated by law experts. This dataset has 21 properties for each law reference in the dataset, such as Buch, Teil, Titel, Untertitel, etc. It also provides the complete text of each law reference in the dataset, along with specific paragraph text mentioned in the law reference. Furthermore, using this dataset together with Open Legal Data, we perform a law reference prediction task to compare the performance between predicting full law reference and only the base law reference.","2023","2024-10-27 16:07:34","2024-10-27 16:07:34","","392-396","","","","","","","","","","","","","English","","","","WOS:001139079400042","","","","","","","NLP; Law Reference Annotations; Law References; Legal Language Processing; Open Legal Data; Sentence Transformers","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PROCEEDINGS OF THE 19TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND LAW, ICAIL 2023","","","","","","","","","","","","","","",""
"RU2WTIMT","conferencePaper","2023","Al Mouatamid, Y; Zahir, J; Bonnin, M; Mousannif, H","Assessing Ocean's Legal Protection Using AI: A New Dataset and a BERT-Based Classifier","Cadi Ayyad University of Marrakech","0922-6389","","10.3233/FAIA230972","","This paper aims to address the challenge of using artificial intelligence for empirical legal studies. We introduce a new annotated dataset on French marine environmental law dealing with definitions, bans, sanctions, and controls on living (turtles and seabirds) and non-living (plastic bags and straws) subjects. The annotation has been produced by law students and validated by a legal expert. Based on the developed dataset, we train a CamemBERT-based classifier which accurately predicts the class of a given legal article according to the pre-defined classes within the dataset we have created. The proposed training set and the resulting trained model provide a better interpretation and accessibility of legal texts to specialists and the general public, based on findings from legal studies and on natural language processing techniques.","2023","2024-10-27 16:07:34","2024-10-27 16:07:34","","263-268","","","379","","","","","","","","","","English","","","","WOS:001175464100032","","","","","","","Machine learning; CamemBERT; Classification; datasets; empirical legal studies; marine environmental law","","Spanakis, J; VanDijck, G; Sileno, G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LEGAL KNOWLEDGE AND INFORMATION SYSTEMS","","","","","","","","","","","","","","",""
"A6SBFF3G","journalArticle","2024","Bertalan, VGF; Ruiz, EES","Using attention methods to predict judicial outcomes","ARTIFICIAL INTELLIGENCE AND LAW","","0924-8463","10.1007/s10506-022-09342-7","","The prediction of legal judgments is one of the most recognized fields in Natural Language Processing, Artificial Intelligence, and Law combined. By legal prediction, we mean intelligent systems capable of predicting specific judicial characteristics such as the judicial outcome, the judicial class, and the prediction of a particular case. In this study, we used an artificial intelligence classifier to predict the decisions of Brazilian courts. Also, kindly confirm the details in the metadata are correct. To this end, we developed a text crawler to extract data from official Brazilian electronic legal systems, consisting of two datasets of cases of second-degree murder and active corruption. We applied various classifiers, such as Support Vector Machines, Neural Networks, and others, to predict judicial outcomes by analyzing text features from the dataset. Our research demonstrated that Regression Trees, Gated Recurring Units, and Hierarchical Attention Networks tended to have higher metrics across our datasets. As the final goal, we searched the weights of one of the algorithms, Hierarchical Attention Networks, to find samples of the words that might be used to acquit or convict defendants based on their relevance to the algorithm.","2024-03","2024-10-27 16:07:34","2024-10-27 16:07:34","","87-115","","1","32","","","","","","","","","","English","","","","WOS:000905015800001","","","","","","","Machine learning; Natural language processing; CLASSIFICATION; Hierarchical attention networks; LEGAL; Legal prediction; RESOLUTION","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"SURQRMV7","conferencePaper","2023","Hillebrand, L; Pielka, M; Leonhard, D; Deusser, T; Dilmaghani, T; Kliem, B; Loitz, R; Morad, M; Temath, C; Bell, T; Stenzel, R; Sifa, R; ACM","sustain.AI: a Recommender System to analyze Sustainability Reports","","979-8-4007-0197-9","","10.1145/3594536.3595131","","We present sustain.AI, an intelligent, context-aware recommender system that assists auditors and financial investors as well as the general public to efficiently analyze companies' sustainability reports. The tool leverages an end-to-end trainable architecture that couples a BERT-based encoding module with a multi-label classification head to match relevant text passages from sustainability reports to their respective law regulations from the Global Reporting Initiative (GRI) standards. We evaluate our model on two novel German sustainability reporting data sets and consistently achieve a significantly higher recommendation performance compared to multiple strong baselines. Furthermore, sustain.AI is publicly available for everyone at https://sustain.ki.nrw/.","2023","2024-10-27 16:07:35","2024-10-27 16:07:35","","412-416","","","","","","","","","","","","","English","","","","WOS:001139079400046","","","","","","","natural language processing; recommender system; sustainability","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PROCEEDINGS OF THE 19TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND LAW, ICAIL 2023","","","","","","","","","","","","","","",""
"PAZJRVTB","conferencePaper","2023","Alves, A; Miranda, P; Mello, R; Nascimento, A","Automatic Simplification of Legal Texts in Portuguese Using Machine Learning","Universidade Federal Rural de Pernambuco (UFRPE)","0922-6389","","10.3233/FAIA230975","","Texts produced by the Brazilian judiciary have a complex and technical vocabulary, with elaborate use of the Portuguese language and many legal terms difficult to be understood, generating a barrier in communication between the judiciary and the population. In this sense, the Automatic Text Simplification (ATS), activity of the Natural Language Processing (NLP) area, can be applied to improve the readability of these types of text using specialized algorithms, and promote scalability in simplifying them, in view of the great demand in the courts. In this context, this article presents an evaluation of four methods of state of the art in text simplification, evaluated according to readability metrics, to improve the quality of existing texts in the judicial summaries, dataset containing 100 summaries of the Federal Regional Court of the 5th Region (TRF5) and another 100 of the Federal Supreme Court (STF). The methods MUSS(EN), MUSS(PT), Transformers and NMT + Attention were tested, and the results of the simplifications exceeded the FRE readability index of the original texts, making them more readable.","2023","2024-10-27 16:07:35","2024-10-27 16:07:35","","281-286","","","379","","","","","","","","","","English","","","","WOS:001175464100035","","","","","","","natural language processing; automatic text simplification; machine learning","","Spanakis, J; VanDijck, G; Sileno, G","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","LEGAL KNOWLEDGE AND INFORMATION SYSTEMS","","","","","","","","","","","","","","",""
"7RTK7DAH","journalArticle","2023","Chen, SS","THE DAWN OF AI GENERATED CONTENTS: REVISITING COMPULSORY MEDIATION AND IP DISPUTES RESOLUTION","CONTEMPORARY ASIA ARBITRATION JOURNAL","","1999-9747","","","With the popularity of generative artificial intelligence (hereinafter ""AI""), current intellectual property laws are being greatly challenged and the established doctrines redefined. As different jurisdictions are in the process of ""catching up"" to the technology, this paper argues that compulsory mediation, as an alternate dispute resolution, has the potential to address legal uncertainties. The flexible and informal nature of the compulsory mediation process makes a suitable environment for all stakeholders involved, the right owners, the creators, and the users of the AI, to come to an agreement, thus lessening the impact such new invention brings to domestic legal framework. Moreover, by looking into compulsory mediations in Taiwan, the Philippines, and Turkey, this paper hopes to outline key factors for compulsory mediation to properly tackle the subject of intellectual property disputes of AI nature.","2023","2024-10-27 16:07:35","2024-10-27 16:07:35","","301-331","","2","16","","","","","","","","","","English","","","","WOS:001111303600004","","","","","","","natural language processing; machine learning; AI; AIgenerated content; Alternate dispute resolution; artificial intelligence; compulsory mediation; deficiency in law; intellectual property; IP infringement through AI; IP protection; machine learning data","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"Y5GPFL3S","conferencePaper","2023","Blair-Stanek, A; Holzenberger, N; Van Durme, B; ACM","Can GPT-3 Perform Statutory Reasoning?","University System of Maryland","979-8-4007-0197-9","","10.1145/3594536.3595163","","Statutory reasoning is the task of reasoning with facts and statutes, which are rules written in natural language by a legislature. It is a basic legal skill. In this paper we explore the capabilities of the most capable GPT-3 model, text-davinci-003, on an established statutory-reasoning dataset called SARA. We consider a variety of approaches, including dynamic few-shot prompting, chain-of-thought prompting, and zero-shot prompting. While we achieve results with GPT-3 that are better than the previous best published results, we also identify several types of clear errors it makes. We investigate why these errors happen. We discover that GPT-3 has imperfect prior knowledge of the actual U.S. statutes on which SARA is based. More importantly, we create simple synthetic statutes, which GPT-3 is guaranteed not to have seen during training. We find GPT-3 performs poorly at answering straightforward questions about these simple synthetic statutes.","2023","2024-10-27 16:07:35","2024-10-27 16:07:35","","22-31","","","","","","","","","","","","","English","","","","WOS:001139079400003","","","","","","","natural language processing; GPT-3; law; reasoning; statutes","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","PROCEEDINGS OF THE 19TH INTERNATIONAL CONFERENCE ON ARTIFICIAL INTELLIGENCE AND LAW, ICAIL 2023","","","","","","","","","","","","","","",""
"JNQDLZ73","journalArticle","2024","Rehaag, S","Luck of the Draw III: Using AI to Extract Data About Decision-Making in Federal Court Stays of Removal","QUEENS LAW JOURNAL","","0316-778X","","","This article examines decision-making in Federal Court of Canada immigration law applications for stays of removal, focusing on how the rates at which stays are granted depend on which justice decides the case. The article deploys a form of computational natural language processing, using a large-language model machine learning process (GPT-3) to extract data from online Federal Court dockets. The article reviews patterns in outcomes in thousands of stay of removal applications identified through this process and reveals a wide range in stay grant rates across many justices. The article argues that the Federal Court should take measures to encourage more consistency in stay decision-making and cautions against relying heavily on stays of removal to ensure that deportation complies with constitutional procedural justice protections. The article is also a demonstration of how machine learning can be used to pursue empirical legal research projects that would have been cost prohibitive or technically challenging only a few years ago-and shows how technology that is increasingly used to enhance the power of the state at the expense of marginalized migrants can instead be used to scrutinize legal decision-making in the immigration law field, hopefully in ways that enhance the rights of migrants. The article also contributes to the broader field of computational legal research in Canada by making available to other non-commercial researchers the code used for the project, as well as a dataset of several thousand Federal Court dockets that can be used for future research.","2024","2024-10-27 16:07:35","2024-10-27 16:07:35","","73-126","","2","49","","","","","","","","","","English","","","","WOS:001245221700003","","","","","","","REFUGEE DETERMINATIONS","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"GR5SMCK2","journalArticle","2024","Kretschmer, M; Margoni, T; Oruç, P","Copyright Law and the Lifecycle of Machine Learning Models","IIC-INTERNATIONAL REVIEW OF INTELLECTUAL PROPERTY AND COMPETITION LAW","","0018-9855","10.1007/s40319-023-01419-3","","Machine learning, a subfield of artificial intelligence (AI), relies on large corpora of data as input for learning algorithms, resulting in trained models that can perform a variety of tasks. While data or information are not subject matter within copyright law, almost all materials used to construct corpora for machine learning are protected by copyright law: texts, images, videos, and so on. There are global policy moves to address the copyright implications of machine learning, in particular in the context of so-called ""foundation models"" that underpin generative AI. This paper takes a step back, exploring empirically three technological settings through detailed case studies. We set out the established industry methodology of a lifecycle of AI (collecting data, organising data, model training, model operation) to arrive at descriptions suitable for legal analysis. This will allow an assessment of the challenges for a harmonisation of rights, exceptions and disclosure under EU copyright law. The three case studies are:Machine learning for scientific purposes, in the context of a study of regional short-term letting markets;Natural Language Processing (NLP), in the context of large language models;Computer vision, in the context of content moderation of images.We find that the nature and quality of data corpora at the input stage is central to the lifecycle of machine learning. Because of the uncertain legal status of data collection and processing, combined with the competitive advantage gained by firms not disclosing technological advances, the inputs of the models deployed are often unknown. Moreover, the ""lawful access"" requirement of the EU exception for text and data mining may turn the exception into a decision by rightholders to allow machine learning in the context of their decision to allow access. We assess policy interventions at EU level, seeking to clarify the legal status of input data via copyright exceptions, opt-outs or the forced disclosure of copyright materials. We find that the likely result is a fully copyright-licensed environment of machine learning that may have problematic effects for the structure of industry, innovation and scientific research.","2024-01","2024-10-27 16:07:35","2024-10-27 16:07:35","","110-138","","1","55","","","","","","","","","","English","","","","WOS:001155789200001","","","","","","","Artificial intelligence; Copyright; Data mining; Digital single market; EU; TEXT; Text mining","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
